question,answer_agent,answer_orig,document
Did the people in the dancing plague all show the same strange behavior because of mass hysteria?,"Not necessarily. Modern historians think the Dancing Plague of 1518 **could have involved mass hysteria or mass psychogenic illness**, meaning many people might have suddenly shown similar bizarre behavior at once. But that doesn’t prove **everyone** had the exact same cause or identical symptoms.

So the short answer is:

- **Yes, similar strange behavior may have spread through mass hysteria**
- **No, we can’t be sure all participants were affected in exactly the same way**
- Other explanations have also been proposed, including **ergot poisoning**

If you want, I can also explain **why historians think mass hysteria is a strong theory** or **what other causes have been suggested**.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
How might psychologists explain the dancing plague of 1518?,"Psychologists might explain the dancing plague of 1518 as a case of **mass psychogenic illness** or **mass hysteria**. In this view, many people in a community could have begun showing the same unusual behavior—uncontrollable dancing—because of intense stress, fear, and social contagion rather than a single physical disease.

A related modern idea is **psychogenic movement disorder**, where psychological factors produce real, involuntary physical movements. In this sense, the dancers were not “faking” it; their symptoms could have been genuine.

Some historians also mention another possibility, **ergotism** from contaminated grain, but the psychological explanation is one of the main modern theories.

If you want, I can also explain the **social and historical conditions in Strasbourg** that may have helped trigger it.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
Was there a mental or emotional cause behind the dancing plague rather than an infection?,"Yes. Modern historians think a mental or emotional cause is a strong possibility.

The main non-infection explanation is **mass psychogenic illness** — sometimes described as **mass hysteria** — where stress and social anxiety can lead groups of people to develop similar physical symptoms. In the case of the Dancing Plague of 1518, another related theory is **psychogenic movement disorder** affecting many people at once.

So, rather than an infection, it may have been triggered by **psychological stress, fear, or emotional strain** in the community. There is also another theory involving **ergot poisoning**, but that is not the same as a normal infection.

Would you like to explore the social conditions in Strasbourg at the time, or the ergot poisoning theory?","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
"What fictional book series has a title about the Dancing Plague, and when did it come out?","A fictional book series titled **A Collection of Utter Speculation** includes **The Dancing Plague: A Collection of Utter Speculation**, and it was released in **2022**.

Would you like to explore more about the Dancing Plague of 1518?",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Is there a made-up book that tells the story of the Strasbourg dancing outbreak?,"Yes — there is a fictional book: **_The Dancing Plague: A Collection of Utter Speculation_** (2022). It’s a made-up account of the events in Strasbourg.

If you want, I can also tell you more about how the historical event differs from the fictional version, or explore other books and adaptations about the Dancing Plague.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
What’s the name of the 2022 fictional book about the Dancing Plague?,"The 2022 fictional book is **The Dancing Plague: A Collection of Utter Speculation**.

If you want, I can also tell you a bit about what the book says about the Strasbourg events or explore other aspects of the Dancing Plague.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Does A Collection of Utter Speculation include a book on the events in Strasbourg?,"I couldn’t confirm that **A Collection of Utter Speculation** includes a book specifically on the **events in Strasbourg** from the Dancing Plague of 1518.

What I could verify is that the Dancing Plague of 1518 **did occur in Strasbourg**, but I don’t have a source here listing the contents of that collection.

If you want, I can help you figure out whether the collection includes:
- a book about the **Dancing Plague of 1518**
- a book specifically set in **Strasbourg**
- or both

Are there other areas you want to explore?",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Can I find a fictional account of the Dancing Plague in a book series?,"Yes. A fictional account appears in the book series **A Collection of Utter Speculation**: **_The Dancing Plague: A Collection of Utter Speculation_** (2022). It’s described as a fictional account of the events in Strasbourg.

If you want, I can also help you find whether it’s more historical fiction, a novelization, or part of a larger series.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
What films or movies were inspired by the Dancing Plague of 1518?,"A few films and screen projects were inspired by the Dancing Plague of 1518:

- **Strasbourg 1518** — a **2020 short film by Jonathan Glazer**
- A **music video short-film** for **Loreen and Ólafur Arnalds**’ 2025 joint release, **“SAGES”**, featuring the songs **“In The Sound of Breathing”** and **“Opening”**

If you want, I can also help with **a brief summary of each adaptation** or **other cultural works inspired by the event**.","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
Has the Dancing Plague been turned into a short film or anything like that?,"Yes—there have been various **films, shorts, and documentary-style videos** inspired by the Dancing Plague of 1518, though it’s not one of the most heavily adapted historical events. I don’t see a specific title in the source I checked, but the topic has definitely been used in short-form historical and dramatized media.

If you want, I can help you look for:
- a **specific short film**
- a **documentary**
- a **YouTube video or animation**
- or **fictional works inspired by it**

Would you like me to dig up some examples?","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
"Did Jonathan Glazer make a movie about Strasbourg 1518, and is it connected to the dancing plague?","Yes—Jonathan Glazer made a short film called **_Strasbourg 1518_**, and it is **directly connected** to the **Dancing Plague of 1518**. The title refers to the historical outbreak in Strasbourg where people reportedly danced uncontrollably for weeks.

If you want, I can also explain what the film is about or how accurately it relates to the historical event. Are there other areas you want to explore?","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
Are there any music videos or short-film projects based on the Dancing Plague?,"Yes — there have been modern creative projects inspired by the Dancing Plague of 1518, including music-video-style and short-film interpretations. I don’t have a specific catalog of titles in the available material, though, so I can’t reliably name exact works from this source alone.

If you want, I can help you look for:
- specific music videos,
- short films,
- documentaries,
- or artistic adaptations based on the Dancing Plague.

Would you like me to focus on any of those?","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
"Which later works, like films or videos, were influenced by the Strasbourg dancing outbreak?","Later works inspired by the Strasbourg dancing outbreak include:

- **Jonathan Glazer’s short film _Strasbourg 1518_ (2020)**  
- **The music video short-film for Loreen and Ólafur Arnalds’ 2025 joint release**, for the songs **“In The Sound of Breathing”** and **“Opening”**, released under the name **SAGES**

If you want, I can also tell you more about how these works interpret the event or about other cultural depictions of the Dancing Plague of 1518.","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
