question,answer_llm,answer_orig,document
How did the 1518 dancing plague outbreak actually begin in Strasbourg?,It began in July 1518 when a woman called **Frau Troffea** and her daughter **Fräulein Emma Götz** started dancing fervently and uncontrollably in a street in **Strasbourg**.,The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.,qa_003
Who were the first people seen dancing in July 1518 during the outbreak?,"The first people seen dancing in July 1518 were **a woman known as Frau Troffea and her daughter, Fräulein Emma Götz**.",The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.,qa_003
What happened with Frau Troffea and her daughter at the start of the dancing plague?,Frau Troffea and her daughter Fräulein Emma Götz began dancing fervently and uncontrollably in a street in Strasbourg.,The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.,qa_003
Where did the first signs of the dancing plague show up in 1518?,"The first signs showed up in a street in Strasbourg, when Frau Troffea and her daughter Fräulein Emma Götz began dancing fervently and uncontrollably.",The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.,qa_003
Why is Frau Troffea usually mentioned when people talk about the start of the dancing plague?,"Frau Troffea is usually mentioned because the outbreak reportedly began when she and her daughter, Fräulein Emma Götz, started dancing fervently and uncontrollably in a street in Strasbourg in July 1518.",The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.,qa_003
"What actually caused the dancing plague of 1518, and why was it so hard to treat?","The exact cause of the dancing plague of 1518 is not known. Modern theories suggest it may have been mass psychogenic illness, or possibly ergotism from food poisoning caused by toxic fungal compounds.

It was hard to treat because no one knew what caused it, so no one understood how to cure it or stop it.","No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside.",qa_004
"Did anyone ever find a real cure for the 1518 dancing outbreak, or did it just fade away?",I don't know.,"No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside.",qa_004
How did the dancing plague finally stop in early September 1518?,"By early September 1518, the outbreak simply began to subside. No one knew what had caused it, so there was no understood cure.","No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside.",qa_004
"If nobody knew the cause, what remedies did people try for the dancing plague of 1518?","No one knew the cause, so they didn’t know how to properly cure it. The outbreak was mostly just left to run its course, and by early September it began to subside.","No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside.",qa_004
"Was the end of the dancing plague due to treatment, or did the outbreak simply subside on its own?","The context says no one knew what caused it, so no one understood how to treat or cure it. By early September, the outbreak simply began to subside on its own.","No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside.",qa_004
"How many people died in the 1518 dancing plague, or is the death toll still unknown?","The death toll is still unknown. Some sources claimed about fifteen people died per day for a time, but the city records did not mention fatalities, and no source in the context gives a confirmed number.","Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds"".",qa_005
Did the Strasbourg records actually mention any deaths from the dancing plague?,"No. The Strasbourg records at the time did **not** mention any deaths, and they did not even state whether there were fatalities.","Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds"".",qa_005
Is it true that about 15 people died each day during the plague in 1518?,"Some sources claim that around 15 people died per day for a period, but the historical records from Strasbourg do not confirm any deaths. So it may be true according to some claims, but it is not established.","Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds"".",qa_005
"Was there ever an official final death toll for the dancing plague, or not?","No. The context says the final death toll is not known, and the city sources did not mention deaths or fatalities.","Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds"".",qa_005
"If the 15-per-day claim is right, roughly how many deaths could there have been overall?","If 15 people died per day and that lasted for a period, the toll could have been **into the hundreds**.","Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds"".",qa_005
Did people actually dance until they died during the 1518 outbreak?,Disagreement exists over whether people ultimately danced to death.,Disagreement exists over whether people ultimately danced to death.,qa_006
Was it really possible for someone to keep dancing long enough to die from it?,Disagreement exists over whether people ultimately danced to death.,Disagreement exists over whether people ultimately danced to death.,qa_006
Do historians agree that the dancers in Strasbourg literally danced themselves to death?,"No. Historians do not agree that the dancers in Strasbourg literally danced themselves to death. The context says there is disagreement over whether people ultimately danced to death, and the historical sources do not clearly record fatalities.",Disagreement exists over whether people ultimately danced to death.,qa_006
Is there proof that people in the dancing plague died because of nonstop dancing?,I don't know.,Disagreement exists over whether people ultimately danced to death.,qa_006
Did the 1518 dancing frenzy end with people dying from exhaustion or is that debated?,I don't know.,Disagreement exists over whether people ultimately danced to death.,qa_006
What do modern historians think caused the Dancing Plague of 1518?,"Modern historians think the Dancing Plague of 1518 may have been caused by either:

- a **mass psychogenic illness** or **psychogenic movement disorder** spreading through mass hysteria, or
- **ergotism**, meaning **food poisoning from toxic and psychoactive compounds produced by ergot fungi**.

",There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism),qa_007
Could the 1518 dancing plague have been mass hysteria or a psychogenic movement disorder?,"Yes. According to the context, modern theories say the 1518 dancing plague could have been an example of fully developed cases of **psychogenic movement disorder** occurring in **mass hysteria** or **mass psychogenic illness**.",There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism),qa_007
Is there a theory that ergot poisoning caused the dancing plague in 1518?,"Yes. One modern theory says the dancing plague of 1518 could have been caused by food poisoning from toxic and psychoactive compounds produced by ergot fungi, known as ergotism.",There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism),qa_007
What’s the connection between the Dancing Plague of 1518 and ergot fungi?,"One modern theory is that the Dancing Plague of 1518 may have been caused by food poisoning from toxic and psychoactive chemicals produced by ergot fungi, a condition known as ergotism.",There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism),qa_007
What are the main modern explanations for why people in 1518 started dancing uncontrollably?,"The main modern explanations are:

1. **Mass hysteria / mass psychogenic illness** — a psychological reaction spreading through a group.
2. **Ergotism** — food poisoning from toxic, psychoactive compounds produced by **ergot fungi**.

If you'd like, I can also explain how each theory fits the historical evidence.",There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism),qa_007
Could the dancing plague have been a mass psychogenic illness instead of a physical disease?,"Yes. According to the context, the dancing plague of 1518 could have been a form of **mass psychogenic illness**—described as fully developed cases of **psychogenic movement disorder** occurring in **mass hysteria**.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
What does it mean if the outbreak was a psychogenic movement disorder?,"If the outbreak was a **psychogenic movement disorder**, it means the involuntary dancing was likely caused by a **psychological condition rather than a physical one**. In this context, it could mean many people suddenly showed the same strange behavior as part of **mass hysteria** or **mass psychogenic illness**.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
Did the people in the dancing plague all show the same strange behavior because of mass hysteria?,"Yes — according to the context, one modern explanation is that the dancing plague could have been a case of mass hysteria or mass psychogenic illness, where many people suddenly showed the same bizarre behavior.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
How might psychologists explain the dancing plague of 1518?,"Psychologists might explain the dancing plague of 1518 as a case of **mass psychogenic illness** or a **psychogenic movement disorder** spreading through a group. In other words, people may have been influenced by stress, suggestion, and social contagion, causing them to dance uncontrollably in a shared episode of mass hysteria.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
Was there a mental or emotional cause behind the dancing plague rather than an infection?,"Yes. The context says it could have been a **psychogenic movement disorder**, involving **mass hysteria or mass psychogenic illness**, rather than an infection.","It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior.",qa_008
"What fictional book series has a title about the Dancing Plague, and when did it come out?","The fictional book series is **A Collection of Utter Speculation**, and the title **The Dancing Plague: A Collection of Utter Speculation** came out in **2022**.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Is there a made-up book that tells the story of the Strasbourg dancing outbreak?,"Yes. The context says **The Dancing Plague: A Collection of Utter Speculation** is a fictional book released in 2022, and it tells a made-up account of the events in Strasbourg.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
What’s the name of the 2022 fictional book about the Dancing Plague?,The book is **The Dancing Plague: A Collection of Utter Speculation**.,The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Does A Collection of Utter Speculation include a book on the events in Strasbourg?,"Yes. **A Collection of Utter Speculation** includes **_The Dancing Plague: A Collection of Utter Speculation_** (2022), which is a fictional account of the events that happened in **Strasbourg**.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
Can I find a fictional account of the Dancing Plague in a book series?,"Yes. The book series **A Collection of Utter Speculation** released **_The Dancing Plague: A Collection of Utter Speculation_** in **2022**, and it is a **fictional account** of the events in Strasbourg.",The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.,qa_009
What films or movies were inspired by the Dancing Plague of 1518?,"The Dancing Plague of 1518 inspired:

- **Jonathan Glazer’s 2020 short film _Strasbourg 1518_**
- **A 2025 music video short-film for Loreen and Ólafur Arnalds’ joint release of “In The Sound of Breathing” and “Opening,” under the name _SAGES_**

","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
Has the Dancing Plague been turned into a short film or anything like that?,"Yes. The Dancing Plague inspired Jonathan Glazer’s 2020 short film *Strasbourg 1518*, and it also inspired a music-video short film for Loreen and Ólafur Arnalds’ 2025 release *SAGES*.","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
"Did Jonathan Glazer make a movie about Strasbourg 1518, and is it connected to the dancing plague?","Yes. Jonathan Glazer made a 2020 short film called **Strasbourg 1518**, and it is **connected to the Dancing Plague of 1518** because the event inspired the film.","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
Are there any music videos or short-film projects based on the Dancing Plague?,"Yes. The context says the Dancing Plague inspired a **music video short-film** for **Loreen and Ólafur Arnalds’ 2025 release** of “In The Sound of Breathing” and “Opening,” released under the name **SAGES**. It also inspired **Jonathan Glazer’s 2020 short film Strasbourg 1518**.","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
"Which later works, like films or videos, were influenced by the Strasbourg dancing outbreak?","The Strasbourg dancing outbreak inspired:

- **Jonathan Glazer’s 2020 short film _Strasbourg 1518_**
- **The music video short-film for Loreen and Ólafur Arnalds’ 2025 release _SAGES_**, for the songs **“In The Sound of Breathing”** and **“Opening”**","The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES"".",qa_010
